iter	Passed	Remaining
0	21039	2082934
1	50632	2480989
2	86333	2791448
3	126974	3047386
4	161370	3066043
5	191770	3004408
6	238543	3169222
7	299166	3440417
8	363015	3670493
9	429099	3861891
10	504960	4085592
11	560622	4111231
12	615821	4121270
13	676293	4154376
14	750736	4254172
15	806124	4232153
16	870457	4249880
17	924760	4212795
18	971437	4141391
19	1015797	4063190
20	1074630	4042659
21	1131148	4010435
22	1174574	3932270
23	1204319	3813678
24	1237965	3713897
25	1282318	3649675
26	1329231	3593848
27	1371049	3525556
28	1412625	3458496
29	1449510	3382190
30	1477537	3288712
31	1516404	3222360
