pokedex_id,latitude,longitude,local_time,close_to_water,city,weather,temperature,population_density,google_types
0,10,43.771547999999996,-79.211497,2016-09-08T03:22:31,True,Toronto,Rain,22.4,3249.4587,"['transit_station', 'electrician']"
1,96,43.770317999999996,-79.21255500000001,2016-09-08T03:13:16,True,Toronto,Rain,22.4,3249.4587,[]
2,96,43.769937,-79.21088,2016-09-08T03:12:19,True,Toronto,Rain,22.4,3249.4587,[]
3,96,43.708332,-79.393232,2016-09-08T02:33:32,True,Toronto,LightRain,22.7,4039.2358,"['school', 'bar', 'restaurant', 'dentist', 'embassy', 'insurance_agency', 'doctor']"
4,96,43.70667,-79.394464,2016-09-08T02:33:17,True,Toronto,LightRain,22.7,4039.2358,"['bakery', 'lawyer', 'real_estate_agency', 'store', 'local_government_office', 'accounting', 'travel_agency', 'bank', 'grocery_or_supermarket', 'atm']"
5,92,43.70955,-79.399126,2016-09-08T02:32:56,True,Toronto,LightRain,22.7,4039.2358,"['cafe', 'parking', 'store', 'restaurant', 'home_goods_store', 'dentist', 'electronics_store', 'grocery_or_supermarket', 'meal_takeaway', 'physiotherapist', 'meal_delivery', 'doctor']"
6,10,43.704843,-79.400269,2016-09-08T02:31:54,True,Toronto,LightRain,22.7,3756.671,"['real_estate_agency', 'store', 'home_goods_store', 'transit_station', 'electronics_store', 'electrician', 'bus_station', 'plumber']"
7,41,43.709863,-79.39771800000001,2016-09-08T02:31:42,True,Toronto,LightRain,22.7,4039.2358,"['parking', 'night_club', 'bar', 'spa', 'store', 'restaurant', 'dentist', 'physiotherapist', 'doctor']"
8,32,43.704629,-79.396399,2016-09-08T02:31:22,True,Toronto,LightRain,22.7,4039.2358,"['accounting', 'insurance_agency', 'store', 'lawyer']"
9,96,43.706802,-79.394288,2016-09-08T02:30:53,True,Toronto,LightRain,22.7,4039.2358,"['bakery', 'lawyer', 'real_estate_agency', 'store', 'local_government_office', 'accounting', 'travel_agency', 'bank', 'grocery_or_supermarket', 'atm']"
10,98,43.708265999999995,-79.399654,2016-09-08T02:30:06,True,Toronto,LightRain,22.7,4039.2358,"['shoe_store', 'library', 'real_estate_agency', 'store', 'clothing_store', 'book_store', 'travel_agency', 'bank', 'electronics_store', 'atm', 'gym']"
11,92,43.706752,-79.39376,2016-09-08T02:29:09,True,Toronto,LightRain,22.7,4039.2358,"['school', 'bakery', 'real_estate_agency', 'store', 'local_government_office', 'accounting', 'bank', 'grocery_or_supermarket', 'atm']"
